"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Vehicles entering Canada by land, by vehicle type and licence plate","24100052",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005201",1;3,"CURRENT - a cube available to the public and that is current","Monthly","1972-01-01","2024-11-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Vehicle licence plate",,""
"3","Vehicle type",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","Cape Breton","","5","4","",,
"1","Evangeline Trail/Lighthouse Route","","6","4","",,
"1","Digby","","7","6","",,
"1","Shelburne/Liverpool/Lunenberg","","8","6","",,
"1","Yarmouth","","9","6","",,
"1","Halifax/Dartmouth Area","","10","4","",,
"1","Sunrise Trail","","11","4","",,
"1","New Brunswick","[13]","12","1","",,
"1","Acadian Coastal","","13","12","",,
"1","Fundy Coastal","","14","12","",,
"1","Campobello","","15","14","",,
"1","Grand Manan","","16","14","",,
"1","Milltown","","17","14","",,
"1","Moncton","","18","14","",,
"1","Saint John","","19","14","",,
"1","St. Andrews","","20","14","",,
"1","St. Croix","","21","14","",,
"1","St. Stephen - 3rd Bridge","","22","14","",,
"1","St. Stephen - ferry and other locations","","23","14","",,
"1","River Valley","","24","12","",,
"1","Andover","","25","24","",,
"1","Bloomfield","","26","24","",,
"1","Centreville","","27","24","",,
"1","Clair","","28","24","",,
"1","Edmundston","","29","24","",,
"1","Forest City","","30","24","",,
"1","Fosterville","","31","24","",,
"1","Four Falls","","32","24","",,
"1","Fredericton","","33","24","",,
"1","Gillespie","","34","24","",,
"1","Grand Falls/Grand-Sault","","35","24","",,
"1","River de Chute","","36","24","",,
"1","St. Leonard","","37","24","",,
"1","Woodstock","","38","24","",,
"1","Quebec","[24]","39","1","",,
"1","Abitibi-Temiscamingue","","40","39","",,
"1","Cote-Nord","","41","39","",,
"1","Eastern Townships","","42","39","",,
"1","Abercorn","","43","42","",,
"1","Chartierville","","44","42","",,
"1","East Hereford","","45","42","",,
"1","East Pinnacle","","46","42","",,
